"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
"Not at all","Not at all","Most of the time","A moderate amount of the time","Not at all","All of the time","Not at all","A small amount of the time","Not at all",NA,"Know this piece really well! Fond memories of listening to it from childhood on --","Entirely","Entirely","Entirely",NA,NA,"Entirely","Mostly","Mostly",NA,NA,"45","67","Male","Very frequently","No regular practice","J"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","Not at all","A small amount of the time","Br3","Sounded like a great processional","Moderately","Slightly","Not at all","Br3","A great processional","Entirely","Moderately","Not at all",NA,NA,"46","77","Male","Very frequently","0","J"
"Not at all","A small amount of the time","Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br2",NA,"Not at all","Not at all","Not at all","Br2",NA,"Moderately","Moderately","Mostly","Agagin - mostly I enjoyed matching the musicians",NA,"47","56","Male","Somewhat rarely","0","K"
"Not at all","Not at all","Not at all","Most of the time","Not at all","All of the time","Not at all","Not at all","A small amount of the time","Br1, Br2","I have played this before, so my memories were all fragments of my experience there - my own practice, rehearsal with friends, the performances.","Entirely","Entirely","Entirely",NA,"I did not have any fictional stories or scenes",NA,NA,NA,NA,NA,"48","50","Female","Very frequently","44 years","J"
"Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2, Br4",NA,"Mostly","Moderately","Mostly","Br2, Br4","#2 It was like prepare for thunderstorm","Moderately","Slightly","Mostly",NA,NA,"49","62","Female","Very frequently","0","J"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","A small amount of the time",NA,"The comments from the first part apply here.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","75","Female","Moderately frequently","None","J"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"I watched the musicians and how they interact - listen to each play their instrument and part. Today thinking about the ___ was distracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","68","Female","Frequently",NA,"J"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","A moderate amount of the time","Br3","Remembering hearing this movement a lot.","Entirely","Entirely","Moderately",NA,NA,NA,NA,NA,NA,"Fun!","52","74","Female","Very frequently","I breifly played piano, but not right now","I"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","my mother; movement","Moderately","Slightly","Entirely","Br4","chase scene; skating scene","Entirely","Moderately","Entirely",NA,NA,"53","43","Female","Frequently","15","J"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","Br1",NA,"Not at all","Mostly","Mostly","Br1",NA,"Not at all","Not at all","Not at all",NA,NA,"Sep0403","48","Male","Frequently","20","D"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Br1",NA,"Not at all","Entirely","Entirely","Br1",NA,"Not at all","Entirely","Entirely",NA,NA,"Sep1864","36","Male","Very frequently","33","H"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Most of the time","A small amount of the time","A moderate amount of the time","Br3","Like the racetrack!","Mostly",NA,"Entirely","Br3","Racetrack","Mostly","Entirely","Entirely",NA,NA,"01/07/9850",NA,NA,NA,NA,NA
"A moderate amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Not at all","All of the time","Not at all","Not at all","Not at all","Br3",NA,"Not at all","Entirely","Entirely","Br3",NA,"Slightly","Moderately","Mostly",NA,NA,"01/10/2743","51","Male","Frequently","0","D"
